,Car_Model,Type,Location,Car_Body_Type,Model_Year,Brand,Km_Driven,Ownership,Fuel_Type,RTO_Office,Discounted_Car_Price,Baseline_Price,Car_Type,Age_of_Car,Km_Driven_Per_Year,Categorize_Car_Price
370,Maruti Swift,VXIManual,"Bellahalli, Bengaluru",HatchBack,2014,Maruti,27518,2ND OWNER,PETROL,KA-53,504000,515000,Manual,9,3057.555556,5 lakh-10 lakh
371,Honda Jazz,1.2L I-VTEC ZXManual,"Horamavu Agara Road, Bengaluru",HatchBack,2021,Honda,25802,1ST OWNER,PETROL,KA-01,826000,867000,Manual,2,12901,5 lakh-10 lakh
372,Maruti Wagon R 1.0,VXIManual,"Bellahalli, Bengaluru",HatchBack,2013,Maruti,44807,1ST OWNER,PETROL,KA-03,355000,384000,Manual,10,4480.7,2.5 lakh-5 lakh
373,Honda Jazz,1.2L I-VTEC VXManual,"Bellahalli, Bengaluru",HatchBack,2017,Honda,60442,2ND OWNER,PETROL,KA-05,528000,625000,Manual,6,10073.66667,5 lakh-10 lakh
374,Hyundai Grand i10,SPORTZ 1.2 KAPPA VTVTManual,"Bellahalli, Bengaluru",HatchBack,2015,Hyundai,60197,2ND OWNER,PETROL,KA-51,393700,494000,Manual,8,7524.625,2.5 lakh-5 lakh
375,Hyundai i20 Active,1.4 SXManual,"Bellahalli, Bengaluru",HatchBack,2015,Hyundai,83856,2ND OWNER,DIESEL,KA-50,665000,698000,Manual,8,10482,5 lakh-10 lakh
376,Hyundai GRAND I10 NIOS,ASTA AMT 1.2 KAPPA VTVTAutomatic,"Bellahalli, Bengaluru",HatchBack,2020,Hyundai,22234,2ND OWNER,PETROL,KA-36,720000,785000,Automatic,3,7411.333333,5 lakh-10 lakh
377,Hyundai i20,SPORTZ 1.2Manual,"Bellahalli, Bengaluru",HatchBack,2012,Hyundai,40296,1ST OWNER,PETROL,KA-05,457000,480000,Manual,11,3663.272727,2.5 lakh-5 lakh
378,Hyundai Grand i10,ASTA 1.2 KAPPA VTVTManual,"Horamavu Agara Road, Bengaluru",HatchBack,2017,Hyundai,86046,1ST OWNER,PETROL,KA-21,504000,541000,Manual,6,14341,5 lakh-10 lakh
379,Hyundai Grand i10,SPORTZ 1.2 KAPPA VTVTManual,"Whitefield Main Road, Bhoruka Tech Park, Benga...",HatchBack,2015,Hyundai,44212,2ND OWNER,PETROL,KA-53,464000,532000,Manual,8,5526.5,2.5 lakh-5 lakh
