,Car_Model,Configuration,Type,Discounted_Price,Location
81,2019 Tata NEXON,"77,243 KM
1ST OWNER
PETROL
KA-51",XZA PLUS PETROLAutomatic,"₹8,94,000
₹9,68,000","GT World Mall, Bengaluru"
82,2021 KIA SONET,"16,626 KM
1ST OWNER
PETROL
KA-03",GTX PLUS 1.0 IMTManual,"₹12,10,000
₹12,76,000","Garuda Mall, Magrath Road, Bengaluru"
83,2018 Ford Ecosport,"6,492 KM
2ND OWNER
PETROL
KA-02",TITANIUM + 1.5L PETROLManual,"₹9,42,000
₹9,69,000","Garuda Mall, Magrath Road, Bengaluru"
84,2022 KIA SELTOS,"24,057 KM
1ST OWNER
PETROL
KA-50",HTK PLUS 1.5 IMTManual,"₹13,40,000
₹14,14,000","Bellahalli, Bengaluru"
85,2016 Ford Ecosport,"29,302 KM
1ST OWNER
DIESEL
KA-01",TITANIUM 1.5L DIESELManual,"₹7,62,000
₹7,80,000","Garuda Mall, Magrath Road, Bengaluru"
86,2017 Hyundai Creta,"61,139 KM
2ND OWNER
PETROL
KA-53",SX PLUS 1.6 PETROLManual,"₹9,30,000
₹10,76,000","Garuda Mall, Magrath Road, Bengaluru"
87,2019 Ford Ecosport,"25,007 KM
2ND OWNER
PETROL
KA-01",TITANIUM 1.5L SIGNATURE EDITION (SUNROOF) PETROLManual,"₹9,49,000
₹9,75,000","Garuda Mall, Magrath Road, Bengaluru"
88,2020 Ford Ecosport,"14,618 KM
1ST OWNER
PETROL
KA-02",TITANIUM + 1.5L PETROLManual,"₹9,60,000
₹10,31,000","Garuda Mall, Magrath Road, Bengaluru"
89,2020 Toyota URBAN CRUISER,"1,11,712 KM
1ST OWNER
PETROL
KA-05",PREMIUM GRADE MT DUAL TONEManual,"₹8,98,000
₹9,26,000","Whitefield Main Road, Bhoruka Tech Park, Benga..."
90,2019 KIA SELTOS,"91,486 KM
1ST OWNER
PETROL
KA-04",GTK 1.4 PETROLManual,"₹11,48,000
₹11,95,000",Sonnappanahalli
91,2018 Honda WR-V,"49,538 KM
1ST OWNER
PETROL
KA-19",1.2L I-VTEC S MTManual,"₹7,07,000
₹7,34,000","Whitefield Main Road, Bhoruka Tech Park, Benga..."
92,2022 Toyota URBAN CRUISER,"40,860 KM
1ST OWNER
PETROL
KA-63",PREMIUM GRADE ATAutomatic,"₹11,73,000
₹12,38,000","Garuda Mall, Magrath Road, Bengaluru"
