,Car_Model,Configuration,Type,Discounted_Price,Location
664,2022 Maruti Swift,"16,522 KM
1ST OWNER
PETROL
KA-52",VXIManual,"₹7,74,000
₹8,14,000","Hosur Road, Singasandra, Bengaluru"
665,2014 Maruti Swift,"1,23,227 KM
3RD OWNER
PETROL
KA-05",VXIManual,"₹3,92,000
₹4,36,000","Bellahalli, Bengaluru"
666,2015 Maruti Swift,"89,200 KM
1ST OWNER
PETROL
KA-50",LXI (O)Manual,"₹4,52,000
₹5,01,000","Whitefield Main Road, Bhoruka Tech Park, Benga..."
667,2021 Renault Kiger,"27,839 KM
1ST OWNER
PETROL
KA-14",RXZ TURBO MTManual,"₹7,72,000
₹9,30,000","Whitefield Main Road, Bhoruka Tech Park, Benga..."
668,2013 Hyundai i20,"91,716 KM
3RD OWNER
PETROL
KA-53",SPORTZ 1.2Manual,"₹3,66,000
₹3,87,000","Bellahalli, Bengaluru"
669,2013 Maruti Swift,"29,002 KM
1ST OWNER
PETROL
KA-53",VXIManual,"₹4,81,000
₹5,15,000","Bellahalli, Bengaluru"
670,2018 Renault Kwid,"64,592 KM
2ND OWNER
PETROL
KA-50",RXT 1.0 (O)Manual,"₹3,46,000
₹3,53,000","Hosur Road, Singasandra, Bengaluru"
671,2013 Maruti Zen Estilo,"38,594 KM
1ST OWNER
CNG
KA-51",LXI CNGManual,"₹2,76,000
₹2,98,000","Bellahalli, Bengaluru"
672,2013 Hyundai i10,"30,493 KM
1ST OWNER
PETROL
KA-05",MAGNA 1.2Manual,"₹3,62,000
₹3,86,000","Hosur Road, Singasandra, Bengaluru"
673,2017 Tata Tiago,"45,408 KM
1ST OWNER
PETROL
KA-02",XZA PETROLAutomatic,"₹4,85,000
₹5,22,000","GT World Mall, Bengaluru"
674,2013 Maruti Swift,"55,334 KM
2ND OWNER
DIESEL
KA-01",VDIManual,"₹4,34,000
₹5,26,000","Whitefield Main Road, Bhoruka Tech Park, Benga..."
675,2018 Datsun Redi Go,"64,500 KM
1ST OWNER
PETROL
KA-10",AManual,"₹2,45,000
₹2,76,000","Bellahalli, Bengaluru"
676,2016 Maruti Alto K10,"65,484 KM
3RD OWNER
PETROL
KA-50",VXIManual,"₹3,18,000
₹3,26,000","Whitefield Main Road, Bhoruka Tech Park, Benga..."
677,2017 Tata Tiago,"38,063 KM
1ST OWNER
PETROL
KA-04",XE PETROLManual,"₹4,19,000
₹4,57,000","Hosur Road, Singasandra, Bengaluru"
678,2018 Hyundai Eon,"86,198 KM
2ND OWNER
PETROL
KA-02",MAGNA PLUSManual,"₹2,97,000
₹3,76,000","Horamavu Agara Road, Bengaluru"
679,2012 Hyundai i10,"55,805 KM
3RD OWNER
PETROL
KA-05",SPORTZ 1.2Manual,"₹2,75,000
₹3,07,000","GT World Mall, Bengaluru"
680,2010 Hyundai i10,"41,044 KM
1ST OWNER
PETROL
KA-14",MAGNA 1.2Manual,"₹2,73,000
₹2,83,000","Bellahalli, Bengaluru"
681,2015 Hyundai Elite i20,"26,502 KM
2ND OWNER
PETROL
KA-03",SPORTZ 1.2 (O)Manual,"₹5,57,000
₹6,24,000","Bellahalli, Bengaluru"
682,2016 Maruti Celerio,"32,357 KM
1ST OWNER
PETROL
KA-51",ZXIManual,"₹4,29,000
₹4,67,000","GT World Mall, Bengaluru"
683,2019 Volkswagen Polo,"43,266 KM
2ND OWNER
PETROL
KA-03",TRENDLINE 1.0LManual,"₹5,68,000
₹6,04,000",Sonnappanahalli
684,2021 Maruti Swift,"29,850 KM
1ST OWNER
PETROL
KA-51",VXIManual,"₹6,75,000
₹7,35,000","Bellahalli, Bengaluru"
685,2019 Maruti Swift,"44,954 KM
1ST OWNER
DIESEL
KA-02",ZDI PLUS AMTAutomatic,"₹7,85,000
₹8,10,000","Whitefield Main Road, Bhoruka Tech Park, Benga..."
686,2011 Toyota Etios Liva,"74,175 KM
2ND OWNER
PETROL
KA-01",VXManual,"₹3,40,000
₹3,68,000",Sonnappanahalli
687,2010 Maruti Ritz,"91,149 KM
2ND OWNER
PETROL
KA-04",VXIManual,"₹2,98,000
₹3,23,000","Hosur Road, Singasandra, Bengaluru"
688,2014 Hyundai Grand i10,"94,221 KM
2ND OWNER
PETROL
KA-04",SPORTZ 1.2 KAPPA VTVTManual,"₹3,83,000
₹4,24,000","Hosur Road, Singasandra, Bengaluru"
689,2019 Renault Kwid,"31,992 KM
1ST OWNER
PETROL
KA-02",RXT 0.8 (O)Manual,"₹3,63,000
₹3,75,000","Hosur Road, Singasandra, Bengaluru"
690,2016 Tata Tiago,"1,01,386 KM
1ST OWNER
PETROL
KA-02",XE PETROLManual,"₹3,53,000
₹3,79,000","Bellahalli, Bengaluru"
691,2015 Maruti Baleno,"84,473 KM
3RD OWNER
DIESEL
KA-20",ALPHA DIESEL 1.3Manual,"₹5,39,000
₹6,00,000","Bellahalli, Bengaluru"
692,2015 Honda Jazz,"92,656 KM
2ND OWNER
DIESEL
KA-12",1.5L I-DTEC VXManual,"₹4,76,000
₹5,26,000","Hosur Road, Singasandra, Bengaluru"
693,2022 Maruti New Wagon-R,"3,084 KM
1ST OWNER
CNG
KA-02",VXI CNG 1.0Manual,"₹7,02,000
₹7,28,000","GT World Mall, Bengaluru"
694,2014 Maruti Celerio,"28,577 KM
3RD OWNER
PETROL
KA-51",VXI AMTAutomatic,"₹3,65,000
₹4,00,000","Whitefield Main Road, Bhoruka Tech Park, Benga..."
695,2018 Maruti Baleno,"78,631 KM
1ST OWNER
DIESEL
KA-05",SIGMA DIESEL 1.3Manual,"₹5,96,000
₹6,73,000","Bellahalli, Bengaluru"
696,2015 Maruti Swift,"77,147 KM
3RD OWNER
PETROL
KA-53",VXIManual,"₹4,54,000
₹4,95,000","Bellahalli, Bengaluru"
697,2018 Maruti Swift,"79,101 KM
2ND OWNER
DIESEL
KA-03",ZDI AMTAutomatic,"₹6,63,000
₹7,41,000","Whitefield Main Road, Bhoruka Tech Park, Benga..."
698,2013 Maruti Swift,"1,13,498 KM
1ST OWNER
DIESEL
KA-19",VDIManual,"₹4,19,000
₹4,85,000","Whitefield Main Road, Bhoruka Tech Park, Benga..."
699,2017 Renault Kwid,"74,467 KM
1ST OWNER
PETROL
KA-53",RXT 1.0Manual,"₹3,44,000
₹3,68,000","Bellahalli, Bengaluru"
700,2010 Hyundai i10,"73,914 KM
2ND OWNER
PETROL
KA-51",SPORTZ 1.2 ATAutomatic,"₹2,96,000
₹3,12,000","Bellahalli, Bengaluru"
701,2017 Datsun Redi Go,"38,282 KM
2ND OWNER
PETROL
KA-25",T(O) 1.0Manual,"₹2,86,600
₹3,21,000","Hosur Road, Singasandra, Bengaluru"
702,2015 Nissan Micra,"33,859 KM
1ST OWNER
PETROL
KA-51",XL CVTAutomatic,"₹4,29,000
₹4,64,000","Whitefield Main Road, Bhoruka Tech Park, Benga..."
703,2014 Maruti Alto K10,"68,307 KM
3RD OWNER
PETROL
KA-42",VXIManual,"₹2,32,600
₹2,96,000","Whitefield Main Road, Bhoruka Tech Park, Benga..."
704,2011 Hyundai i20,"1,48,625 KM
2ND OWNER
PETROL
KA-51",MAGNA (O) 1.2Manual,"₹2,95,000
₹3,09,000","Bellahalli, Bengaluru"
705,2016 Hyundai Eon,"11,079 KM
1ST OWNER
PETROL
KA-01",ERA PLUS (O)Manual,"₹3,29,000
₹3,55,000","Whitefield Main Road, Bhoruka Tech Park, Benga..."
706,2014 Volkswagen Polo,"1,00,761 KM
2ND OWNER
DIESEL
KA-53",HIGHLINE DIESELManual,"₹6,33,000
₹6,80,000","Hosur Road, Singasandra, Bengaluru"
707,2010 Maruti Ritz,"81,225 KM
2ND OWNER
PETROL
KA-04",LXIManual,"₹2,78,000
₹2,94,000","Bellahalli, Bengaluru"
708,2019 Datsun Go Plus,"24,895 KM
1ST OWNER
PETROL
KA-05",T(O)Manual,"₹4,79,000
₹5,60,000","Bellahalli, Bengaluru"
709,2012 Hyundai i20,"1,01,430 KM
3RD OWNER
DIESEL
KA-02",SPORTZ 1.4 CRDIManual,"₹3,50,000
₹3,79,000","Bellahalli, Bengaluru"
710,2020 Maruti Swift,"13,661 KM
2ND OWNER
PETROL
KA-02",VXI AMTAutomatic,"₹6,71,700
₹7,05,000","Whitefield Main Road, Bhoruka Tech Park, Benga..."
711,2013 Hyundai i20,"66,085 KM
1ST OWNER
PETROL
KA-01",MAGNA (O) 1.2Manual,"₹3,93,000
₹4,44,000","Whitefield Main Road, Bhoruka Tech Park, Benga..."
712,2011 Hyundai Santro Xing,"1,00,954 KM
1ST OWNER
PETROL
KA-03",GL PLUSManual,"₹2,46,000
₹2,75,000","Bellahalli, Bengaluru"
713,2013 Hyundai i20,"77,289 KM
1ST OWNER
PETROL
KA-05",MAGNA (O) 1.2Manual,"₹3,88,000
₹4,20,000","Horamavu Agara Road, Bengaluru"
714,2015 Hyundai Elite i20,"47,127 KM
2ND OWNER
PETROL
KA-51",ASTA 1.2Manual,"₹5,93,000
₹6,61,000","Bellahalli, Bengaluru"
