,Car_Model,Configuration,Type,Discounted_Price,Location
111,2022 Skoda SLAVIA,"11,522 KM
1ST OWNER
PETROL
KA-03",AMBITION 1.0L TSI ATAutomatic,"₹14,47,400
₹15,28,000","Horamavu Agara Road, Bengaluru"
112,2020 Maruti Dzire,"48,492 KM
1ST OWNER
PETROL
KA-09",ZXIManual,"₹7,41,000
₹8,42,000","GT World Mall, Bengaluru"
113,2016 Volkswagen Ameo,"80,155 KM
1ST OWNER
DIESEL
KA-05",HIGHLINE1.5LManual,"₹5,51,000
₹5,82,000",Sonnappanahalli
114,2018 Honda Amaze,"7,459 KM
1ST OWNER
PETROL
KA-04",1.2L I-VTEC V CVTAutomatic,"₹7,96,000
₹8,27,000","Bellahalli, Bengaluru"
115,2021 Honda City,"19,497 KM
1ST OWNER
PETROL
KA-50",1.5L I-VTEC VXManual,"₹12,57,000
₹14,01,000","Whitefield Main Road, Bhoruka Tech Park, Benga..."
116,2020 Hyundai AURA,"21,742 KM
1ST OWNER
PETROL
KA-05",S 1.2Manual,"₹7,15,000
₹7,34,000","Hosur Road, Singasandra, Bengaluru"
117,2017 Maruti Ciaz,"57,268 KM
2ND OWNER
DIESEL
KA-03",ZETA DIESEL 1.3Manual,"₹7,25,000
₹8,40,000","Horamavu Agara Road, Bengaluru"
118,2016 Maruti Ciaz,"1,16,737 KM
1ST OWNER
DIESEL
KA-51",ZDI SHVSManual,"₹6,12,000
₹6,55,000","Bellahalli, Bengaluru"
119,2018 Maruti Ciaz,"45,621 KM
1ST OWNER
PETROL
KA-03",ZETA 1.5 SHVS MT PETROLManual,"₹7,98,000
₹9,78,000","Horamavu Agara Road, Bengaluru"
120,2016 Maruti Swift Dzire,"35,792 KM
2ND OWNER
PETROL
KA-53",VXIManual,"₹5,60,000
₹5,99,000","Horamavu Agara Road, Bengaluru"
121,2016 Honda City,"47,776 KM
1ST OWNER
PETROL
KA-53",1.5L I-VTEC V MTManual,"₹7,00,000
₹7,47,000","Whitefield Main Road, Bhoruka Tech Park, Benga..."
122,2016 Maruti Ciaz,"72,136 KM
2ND OWNER
PETROL
KA-03",ZXIManual,"₹6,75,000
₹7,66,000","Bellahalli, Bengaluru"
123,2020 Hyundai AURA,"23,583 KM
1ST OWNER
PETROL
KA-41",SX PLUS 1.2 AMTAutomatic,"₹7,89,000
₹8,75,000","Bellahalli, Bengaluru"
124,2018 Volkswagen Vento,"56,460 KM
1ST OWNER
PETROL
KA-05",1.2 TSI HIGHLINE PLUS ATAutomatic,"₹8,41,000
₹10,82,000","Bellahalli, Bengaluru"
125,2017 Maruti Ciaz,"53,226 KM
1ST OWNER
PETROL
KA-53",ZXI ATAutomatic,"₹6,79,000
₹7,43,000",Sonnappanahalli
126,2020 Hyundai Verna,"62,593 KM
1ST OWNER
DIESEL
KA-26",SX 1.5 CRDI ATAutomatic,"₹12,95,000
₹14,86,000","Horamavu Agara Road, Bengaluru"
